entity_slug,parent_owner_slug,entity_kind,election_cycle,recipient_party,recipient_office,donations,total_amount
angelos-john-p,,owner,2002,DEM,,2,2000.0
angelos-john-p,,owner,2004,,,1,5000.0
angelos-john-p,,owner,2006,,,2,14000.0
angelos-john-p,,owner,2006,DEM,,2,10000.0
angelos-john-p,,owner,2008,DEM,,2,30800.0
angelos-john-p,,owner,2018,,,2,10000.0
angelos-john-p,,owner,2018,DEM,,1,2700.0
angelos-john-p,,owner,2020,,,2,5600.0
angelos-john-p,,owner,2020,DEM,,1,2800.0
angelos-john-p,,owner,2022,,,4,14700.0
angelos-john-p,,owner,2022,DEM,,8,29300.0
angelos-john-p,,owner,2024,,,3,32600.0
angelos-john-p,,owner,2024,DEM,,5,15700.0
angelos-john-p,,owner,2024,DFL,,1,1000.0
angelos-john-p,,owner,2026,DEM,,2,3500.0
attanasio-mark,,owner,2002,REP,,2,2000.0
attanasio-mark,,owner,2004,DEM,,4,11000.0
attanasio-mark,,owner,2004,REP,,2,27000.0
attanasio-mark,,owner,2006,DEM,,1,26700.0
attanasio-mark,,owner,2008,,,1,2300.0
attanasio-mark,,owner,2008,DEM,,3,4850.0
attanasio-mark,,owner,2008,REP,,1,2300.0
attanasio-mark,,owner,2010,DEM,,2,12400.0
attanasio-mark,,owner,2014,DEM,,1,2600.0
attanasio-mark,,owner,2016,,,1,5400.0
attanasio-mark,,owner,2016,DEM,,2,5400.0
attanasio-mark,,owner,2020,,,2,11200.0
attanasio-mark,,owner,2020,DEM,,4,11200.0
attanasio-mark,,owner,2022,,,1,5000.0
attanasio-mark,,owner,2022,DEM,,1,5000.0
castellini-bob,,owner,2000,,,1,500.0
castellini-bob,,owner,2000,REP,,3,28000.0
castellini-bob,,owner,2002,,,9,18225.0
castellini-bob,,owner,2002,REP,,1,1000.0
castellini-bob,,owner,2002,UNK,,1,500.0
castellini-bob,,owner,2004,,,1,5000.0
castellini-bob,,owner,2004,DEM,,1,500.0
castellini-bob,,owner,2004,REP,,34,108913.5
castellini-bob,,owner,2006,,,2,200.0
castellini-bob,,owner,2006,REP,,11,68700.0
castellini-bob,,owner,2008,,,6,21900.0
castellini-bob,,owner,2008,REP,,15,76300.0
castellini-bob,,owner,2010,,,7,50200.0
castellini-bob,,owner,2010,REP,,12,76700.0
castellini-bob,,owner,2012,,,5,70800.0
castellini-bob,,owner,2012,REP,,11,80800.0
castellini-bob,,owner,2014,,,5,22600.0
castellini-bob,,owner,2014,DEM,,1,2600.0
castellini-bob,,owner,2014,REP,,11,58250.0
castellini-bob,,owner,2016,,,29,636282.0
castellini-bob,,owner,2016,REP,,24,236100.0
castellini-bob,,owner,2018,,,9,210400.0
castellini-bob,,owner,2018,REP,,26,208900.0
castellini-bob,,owner,2020,,,8,74600.0
castellini-bob,,owner,2020,REP,,37,220000.0
castellini-bob,,owner,2022,,,14,127800.0
castellini-bob,,owner,2022,REP,,25,219000.0
castellini-bob,,owner,2024,,,29,214300.0
castellini-bob,,owner,2024,IND,,1,2000.0
castellini-bob,,owner,2024,REP,,42,264700.0
castellini-bob,,owner,2026,,,9,83000.0
castellini-bob,,owner,2026,REP,,17,152100.0
castellini-phil,,owner,2000,,,2,1500.0
castellini-phil,,owner,2000,REP,,1,20000.0
castellini-phil,,owner,2004,REP,,18,40690.0
castellini-phil,,owner,2004,Rep,,1,596.0
castellini-phil,,owner,2006,,,3,6200.0
castellini-phil,,owner,2006,REP,,4,4000.0
castellini-phil,,owner,2008,,,2,4100.0
castellini-phil,,owner,2008,REP,,2,4600.0
castellini-phil,,owner,2010,,,2,7400.0
castellini-phil,,owner,2010,REP,,1,2600.0
castellini-phil,,owner,2012,,,1,20000.0
castellini-phil,,owner,2012,REP,,3,22500.0
castellini-phil,,owner,2014,REP,,2,5400.0
castellini-phil,,owner,2016,,,4,8100.0
castellini-phil,,owner,2020,REP,,2,27500.0
cohen-alexandra,cohen-steven,spouse,2006,DEM,,1,500.0
cohen-alexandra,cohen-steven,spouse,2008,DEM,,4,9200.0
cohen-alexandra,cohen-steven,spouse,2010,,,8,42200.0
cohen-alexandra,cohen-steven,spouse,2010,REP,,6,14400.0
cohen-alexandra,cohen-steven,spouse,2012,,,1,10.0
